"Name","RA","DEC","MagFilter","MagBrightest","MagFaintest","QSOorigin","Method","PossibleType","CandidateStatus","Notes"
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ034548.47+470005.12","56.45194","47.00142","Gaia G","18.4","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion. No color information. Separation 1.6""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015703.5+430305.89","29.26459","43.05164","Gaia G","19.5","20.2",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to pmRA. No color information. Separation 2.5""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ015417.18+433319.29","28.5716","43.55536","Gaia G","18.3","18.9",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.5 sigma due to plx, but no proper motion.  Color difference only 0.24+/-0.18 mag. Separation 3.8""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
